id,question_id,outputs,schema,q1,q2,ground_truth,q1_map_correct,q2_map_correct
754,4,"{'student_result': [['Ben', 'Amy'], ['Coy', 'Ben'], ['Coy', 'Ben'], ['Coy', 'Ben'], ['Coy', 'Ben'], ['Dan', 'Ben'], ['Dan', 'Amy'], ['Dan', 'Coy'], ['Dan', 'Coy'], ['Dan', 'Ben'], ['Dan', 'Ben'], ['Dan', 'Coy'], ['Dan', 'Coy'], ['Dan', 'Ben'], ['Dan', 'Ben'], ['Dan', 'Ben'], ['Dan', 'Amy'], ['Dan', 'Ben'], ['Dan', 'Amy'], ['Eve', 'Dan'], ['Eve', 'Dan'], ['Eve', 'Dan'], ['Eve', 'Ben'], ['Eve', 'Amy']], 'teacher_result': [['Coy', 'Eve'], ['Amy', 'Eve'], ['Amy', 'Coy']]}","CREATE TABLE t1 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t2 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t3 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t4 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    c3 SMALLINT NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t3(c1),
    FOREIGN KEY (c2) REFERENCES t1(c1)
);

CREATE TABLE t5 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    c3 DECIMAL(5,2) NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t1(c1),
    FOREIGN KEY (c2) REFERENCES t2(c1)
);

CREATE TABLE t6 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t3(c1),
    FOREIGN KEY (c2) REFERENCES t2(c1)
);","SELECT alias1.c1, alias2.c1 FROM (SELECT c1, sum(c3) as st FROM t4 GROUP BY c1) alias1, (SELECT c1, sum(c3) as st FROM t4 GROUP BY c1) alias2 WHERE alias1.c1 < alias2.c1 AND alias1.st = alias2.st","SELECT alias1.c1, alias2.c1 FROM t4 alias1 JOIN t4 alias2 ON alias1.c3 = alias2.c3 WHERE alias1.c1 > alias2.c1",N,Y,Y
759,4,"{'student_result': [['Ben', 'Amy'], ['Coy', 'Ben'], ['Dan', 'Amy'], ['Dan', 'Ben'], ['Dan', 'Coy'], ['Eve', 'Amy'], ['Eve', 'Ben'], ['Eve', 'Dan']], 'teacher_result': [['Coy', 'Eve'], ['Amy', 'Eve'], ['Amy', 'Coy']]}","CREATE TABLE t1 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t2 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t3 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t4 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    c3 SMALLINT NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t3(c1),
    FOREIGN KEY (c2) REFERENCES t1(c1)
);

CREATE TABLE t5 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    c3 DECIMAL(5,2) NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t1(c1),
    FOREIGN KEY (c2) REFERENCES t2(c1)
);

CREATE TABLE t6 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t3(c1),
    FOREIGN KEY (c2) REFERENCES t2(c1)
);","SELECT alias1.c1, alias2.c1 FROM (SELECT c1, sum(c3) as st FROM t4 GROUP BY c1) alias1, (SELECT c1, sum(c3) as st FROM t4 GROUP BY c1) alias2 WHERE alias1.c1 < alias2.c1 AND alias1.st = alias2.st","SELECT DISTINCT alias1.c1, alias2.c1 FROM t4 alias1 JOIN t4 alias2 ON alias1.c3 = alias2.c3 WHERE alias1.c1 > alias2.c1",N,Y,Y
855,4,"{'student_result': [['Amy', 'Eve'], ['Ben', 'Dan'], ['Ben', 'Dan'], ['Coy', 'Dan']], 'teacher_result': [['Coy', 'Eve'], ['Amy', 'Eve'], ['Amy', 'Coy']]}","CREATE TABLE t1 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t2 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t3 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t4 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    c3 SMALLINT NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t3(c1),
    FOREIGN KEY (c2) REFERENCES t1(c1)
);

CREATE TABLE t5 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    c3 DECIMAL(5,2) NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t1(c1),
    FOREIGN KEY (c2) REFERENCES t2(c1)
);

CREATE TABLE t6 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t3(c1),
    FOREIGN KEY (c2) REFERENCES t2(c1)
);","SELECT alias1.c1, alias2.c1 FROM (SELECT c1, sum(c3) as st FROM t4 GROUP BY c1) alias1, (SELECT c1, sum(c3) as st FROM t4 GROUP BY c1) alias2 WHERE alias1.c1 < alias2.c1 AND alias1.st = alias2.st","SELECT alias1.c1 AS drinkerA, alias2.c1 AS drinkerB FROM t4 alias1 JOIN t4 alias2 ON alias1.c2 = alias2.c2 AND alias1.c3 = alias2.c3 AND alias1.c1 < alias2.c1;",N,Y,Y
1154,4,"{'student_result': [['Coy', 'Eve'], ['Coy', 'Amy'], ['Eve', 'Coy'], ['Eve', 'Amy'], ['Amy', 'Coy'], ['Amy', 'Eve']], 'teacher_result': [['Coy', 'Eve'], ['Amy', 'Eve'], ['Amy', 'Coy']]}","CREATE TABLE t1 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t2 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t3 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t4 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    c3 SMALLINT NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t3(c1),
    FOREIGN KEY (c2) REFERENCES t1(c1)
);

CREATE TABLE t5 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    c3 DECIMAL(5,2) NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t1(c1),
    FOREIGN KEY (c2) REFERENCES t2(c1)
);

CREATE TABLE t6 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t3(c1),
    FOREIGN KEY (c2) REFERENCES t2(c1)
);","SELECT alias1.c1, alias2.c1 FROM (SELECT c1, sum(c3) as st FROM t4 GROUP BY c1) alias1, (SELECT c1, sum(c3) as st FROM t4 GROUP BY c1) alias2 WHERE alias1.c1 < alias2.c1 AND alias1.st = alias2.st","SELECT alias1.c1 AS drinker1, alias2.c1 AS drinker2 FROM ( SELECT t1.c1, SUM(t4.c3) AS total_times_a_week FROM t1 INNER JOIN t4 ON t4.c1 = t1.c1 GROUP BY t1.c1 ) AS alias1 INNER JOIN ( SELECT t1.c1, SUM(t4.c3) AS total_times_a_week FROM t1 INNER JOIN t4 ON t4.c1 = t1.c1 GROUP BY t1.c1 ) AS alias2 ON alias1.total_times_a_week = alias2.total_times_a_week AND alias1.c1 <> alias2.c1 ORDER BY alias1.total_times_a_week;",N,Y,Y
1275,4,"{'student_result': [['Amy', 'Ben'], ['Amy', 'Dan'], ['Amy', 'Eve'], ['Ben', 'Dan'], ['Ben', 'Eve'], ['Dan', 'Eve']], 'teacher_result': [['Coy', 'Eve'], ['Amy', 'Eve'], ['Amy', 'Coy']]}","CREATE TABLE t1 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t2 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t3 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t4 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    c3 SMALLINT NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t3(c1),
    FOREIGN KEY (c2) REFERENCES t1(c1)
);

CREATE TABLE t5 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    c3 DECIMAL(5,2) NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t1(c1),
    FOREIGN KEY (c2) REFERENCES t2(c1)
);

CREATE TABLE t6 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t3(c1),
    FOREIGN KEY (c2) REFERENCES t2(c1)
);","SELECT alias1.c1, alias2.c1 FROM (SELECT c1, sum(c3) as st FROM t4 GROUP BY c1) alias1, (SELECT c1, sum(c3) as st FROM t4 GROUP BY c1) alias2 WHERE alias1.c1 < alias2.c1 AND alias1.st = alias2.st","SELECT DISTINCT alias1.c1 AS c1, alias2.c1 AS c2 FROM t4 AS alias1 JOIN t4 AS alias2 ON alias1.c2 = alias2.c2 AND alias1.c1 < alias2.c1 JOIN t6 AS alias3 ON alias1.c1 = alias3.c1 JOIN t6 AS alias4 ON alias2.c1 = alias4.c1 JOIN t5 AS alias5 ON alias1.c2 = alias5.c1 AND alias3.c2 = alias5.c2 AND alias4.c2 = alias5.c2;",N,Y,Y
1371,4,"{'student_result': [['Amy', 'Eve'], ['Amy', 'Dan'], ['Amy', 'Dan'], ['Amy', 'Dan'], ['Amy', 'Ben'], ['Ben', 'Dan'], ['Ben', 'Dan'], ['Ben', 'Coy'], ['Ben', 'Coy'], ['Ben', 'Eve'], ['Ben', 'Dan'], ['Ben', 'Dan'], ['Ben', 'Dan'], ['Ben', 'Amy'], ['Ben', 'Dan'], ['Ben', 'Dan'], ['Ben', 'Coy'], ['Ben', 'Coy'], ['Coy', 'Dan'], ['Coy', 'Dan'], ['Coy', 'Ben'], ['Coy', 'Ben'], ['Coy', 'Dan'], ['Coy', 'Dan'], ['Coy', 'Ben'], ['Coy', 'Ben'], ['Dan', 'Eve'], ['Dan', 'Ben'], ['Dan', 'Amy'], ['Dan', 'Coy'], ['Dan', 'Coy'], ['Dan', 'Ben'], ['Dan', 'Ben'], ['Dan', 'Coy'], ['Dan', 'Coy'], ['Dan', 'Ben'], ['Dan', 'Ben'], ['Dan', 'Eve'], ['Dan', 'Ben'], ['Dan', 'Amy'], ['Dan', 'Eve'], ['Dan', 'Ben'], ['Dan', 'Amy'], ['Eve', 'Dan'], ['Eve', 'Dan'], ['Eve', 'Dan'], ['Eve', 'Ben'], ['Eve', 'Amy']], 'teacher_result': [['Coy', 'Eve'], ['Amy', 'Eve'], ['Amy', 'Coy']]}","CREATE TABLE t1 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t2 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t3 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t4 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    c3 SMALLINT NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t3(c1),
    FOREIGN KEY (c2) REFERENCES t1(c1)
);

CREATE TABLE t5 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    c3 DECIMAL(5,2) NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t1(c1),
    FOREIGN KEY (c2) REFERENCES t2(c1)
);

CREATE TABLE t6 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t3(c1),
    FOREIGN KEY (c2) REFERENCES t2(c1)
);","SELECT alias1.c1, alias2.c1 FROM (SELECT c1, sum(c3) as st FROM t4 GROUP BY c1) alias1, (SELECT c1, sum(c3) as st FROM t4 GROUP BY c1) alias2 WHERE alias1.c1 < alias2.c1 AND alias1.st = alias2.st","SELECT alias1.c1, alias2.c1 FROM t4 alias1, t4 alias2 WHERE alias1.c1<>alias2.c1 AND alias1.c3=alias2.c3;",N,Y,Y
1591,4,"{'student_result': [['Amy', 'Ben'], ['Dan', 'Eve'], ['Amy', 'Eve'], ['Ben', 'Coy'], ['Amy', 'Coy'], ['Coy', 'Eve'], ['Ben', 'Eve'], ['Amy', 'Dan'], ['Ben', 'Dan'], ['Coy', 'Dan']], 'teacher_result': [['Coy', 'Eve'], ['Amy', 'Eve'], ['Amy', 'Coy']]}","CREATE TABLE t1 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t2 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t3 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t4 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    c3 SMALLINT NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t3(c1),
    FOREIGN KEY (c2) REFERENCES t1(c1)
);

CREATE TABLE t5 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    c3 DECIMAL(5,2) NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t1(c1),
    FOREIGN KEY (c2) REFERENCES t2(c1)
);

CREATE TABLE t6 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t3(c1),
    FOREIGN KEY (c2) REFERENCES t2(c1)
);","SELECT alias1.c1, alias2.c1 FROM (SELECT c1, sum(c3) as st FROM t4 GROUP BY c1) alias1, (SELECT c1, sum(c3) as st FROM t4 GROUP BY c1) alias2 WHERE alias1.c1 < alias2.c1 AND alias1.st = alias2.st","SELECT alias1.c1, alias2.c1 FROM t4 alias1, t4 alias2 GROUP BY alias1.c1, alias2.c1 HAVING COUNT(alias1.c3) = COUNT(alias2.c3) AND (alias1.c1 <> alias2.c1 AND alias1.c1 < alias2.c1);",N,Y,Y
1647,4,"{'student_result': [['Amy', 'Ben'], ['Amy', 'Ben'], ['Amy', 'Ben'], ['Amy', 'Coy'], ['Amy', 'Coy'], ['Amy', 'Dan'], ['Amy', 'Dan'], ['Amy', 'Dan'], ['Amy', 'Dan'], ['Amy', 'Dan'], ['Amy', 'Eve'], ['Ben', 'Coy'], ['Ben', 'Coy'], ['Ben', 'Dan'], ['Ben', 'Dan'], ['Ben', 'Dan'], ['Ben', 'Dan'], ['Ben', 'Dan'], ['Ben', 'Eve'], ['Ben', 'Coy'], ['Ben', 'Coy'], ['Ben', 'Dan'], ['Ben', 'Dan'], ['Ben', 'Dan'], ['Ben', 'Dan'], ['Ben', 'Dan'], ['Ben', 'Eve'], ['Ben', 'Coy'], ['Ben', 'Coy'], ['Ben', 'Dan'], ['Ben', 'Dan'], ['Ben', 'Dan'], ['Ben', 'Dan'], ['Ben', 'Dan'], ['Ben', 'Eve'], ['Coy', 'Dan'], ['Coy', 'Dan'], ['Coy', 'Dan'], ['Coy', 'Dan'], ['Coy', 'Dan'], ['Coy', 'Eve'], ['Coy', 'Dan'], ['Coy', 'Dan'], ['Coy', 'Dan'], ['Coy', 'Dan'], ['Coy', 'Dan'], ['Coy', 'Eve'], ['Dan', 'Eve'], ['Dan', 'Eve'], ['Dan', 'Eve'], ['Dan', 'Eve'], ['Dan', 'Eve']], 'teacher_result': [['Coy', 'Eve'], ['Amy', 'Eve'], ['Amy', 'Coy']]}","CREATE TABLE t1 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t2 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t3 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t4 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    c3 SMALLINT NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t3(c1),
    FOREIGN KEY (c2) REFERENCES t1(c1)
);

CREATE TABLE t5 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    c3 DECIMAL(5,2) NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t1(c1),
    FOREIGN KEY (c2) REFERENCES t2(c1)
);

CREATE TABLE t6 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t3(c1),
    FOREIGN KEY (c2) REFERENCES t2(c1)
);","SELECT alias1.c1, alias2.c1 FROM (SELECT c1, sum(c3) as st FROM t4 GROUP BY c1) alias1, (SELECT c1, sum(c3) as st FROM t4 GROUP BY c1) alias2 WHERE alias1.c1 < alias2.c1 AND alias1.st = alias2.st","SELECT alias1.c1, alias2.c1 FROM t4 alias1, t4 alias2 WHERE NOT (alias1.c1 = alias2.c1) AND alias1.c1 < alias2.c1;",N,Y,Y
1938,4,"{'student_result': [['Amy', 'Amy'], ['Amy', 'Eve'], ['Ben', 'Ben'], ['Coy', 'Coy'], ['Dan', 'Dan'], ['Eve', 'Amy'], ['Eve', 'Eve']], 'teacher_result': [['Coy', 'Eve'], ['Amy', 'Eve'], ['Amy', 'Coy']]}","CREATE TABLE t1 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t2 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t3 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t4 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    c3 SMALLINT NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t3(c1),
    FOREIGN KEY (c2) REFERENCES t1(c1)
);

CREATE TABLE t5 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    c3 DECIMAL(5,2) NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t1(c1),
    FOREIGN KEY (c2) REFERENCES t2(c1)
);

CREATE TABLE t6 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t3(c1),
    FOREIGN KEY (c2) REFERENCES t2(c1)
);","SELECT alias1.c1, alias2.c1 FROM (SELECT c1, SUM(c3) AS st FROM t4 GROUP BY c1) alias1, (SELECT c1, SUM(c3) AS st FROM t4 GROUP BY c1) alias2 WHERE alias1.c1 < alias2.c1 AND alias1.st = alias2.st","SELECT DISTINCT alias1.c1, alias2.c1 FROM t4 alias1, t4 alias2 GROUP BY alias1.c1, alias2.c1 HAVING SUM(alias1.c3) = SUM(alias2.c3)",N,Y,Y
1944,4,"{'student_result': [['Amy', 'Eve'], ['Eve', 'Amy']], 'teacher_result': [['Coy', 'Eve'], ['Amy', 'Eve'], ['Amy', 'Coy']]}","CREATE TABLE t1 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t2 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t3 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t4 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    c3 SMALLINT NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t3(c1),
    FOREIGN KEY (c2) REFERENCES t1(c1)
);

CREATE TABLE t5 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    c3 DECIMAL(5,2) NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t1(c1),
    FOREIGN KEY (c2) REFERENCES t2(c1)
);

CREATE TABLE t6 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t3(c1),
    FOREIGN KEY (c2) REFERENCES t2(c1)
);","SELECT alias1.c1, alias2.c1 FROM (SELECT c1, SUM(c3) as st FROM t4 GROUP BY c1) alias1, (SELECT c1, SUM(c3) as st FROM t4 GROUP BY c1) alias2 WHERE alias1.c1 < alias2.c1 AND alias1.st = alias2.st","SELECT DISTINCT alias1.c1, alias2.c1 FROM t4 alias1, t4 alias2 WHERE alias1.c1 <> alias2.c1 GROUP BY alias1.c1, alias2.c1 HAVING SUM(alias1.c3) = SUM(alias2.c3)",N,Y,Y
2794,4,"{'student_result': [['Eve', 'Amy']], 'teacher_result': [['Coy', 'Eve'], ['Amy', 'Eve'], ['Amy', 'Coy']]}","CREATE TABLE t1 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t2 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t3 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t4 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    c3 SMALLINT NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t3(c1),
    FOREIGN KEY (c2) REFERENCES t1(c1)
);

CREATE TABLE t5 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    c3 DECIMAL(5,2) NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t1(c1),
    FOREIGN KEY (c2) REFERENCES t2(c1)
);

CREATE TABLE t6 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t3(c1),
    FOREIGN KEY (c2) REFERENCES t2(c1)
);","SELECT alias1.c1, alias2.c1 FROM (SELECT c1, sum(c3) as st FROM t4 GROUP BY c1) alias1, (SELECT c1, sum(c3) as st FROM t4 GROUP BY c1) alias2 WHERE alias1.c1 < alias2.c1 AND alias1.st = alias2.st","SELECT alias1.c1 as drinker1, alias2.c1 as drinker2 FROM t4 AS alias1, t4 AS alias2 WHERE alias1.c1 > alias2.c1 GROUP BY alias1.c1, alias2.c1 HAVING sum(alias1.c3) = sum(alias2.c3)",N,Y,Y
2153,4,"{'student_result': [['Amy', 'Eve'], ['Amy', 'Coy'], ['Amy', 'Coy'], ['Coy', 'Eve'], ['Coy', 'Eve']], 'teacher_result': [['Coy', 'Eve'], ['Amy', 'Eve'], ['Amy', 'Coy']]}","CREATE TABLE t1 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t2 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t3 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1)
);

CREATE TABLE t4 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    c3 SMALLINT NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t3(c1),
    FOREIGN KEY (c2) REFERENCES t1(c1)
);

CREATE TABLE t5 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    c3 DECIMAL(5,2) NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t1(c1),
    FOREIGN KEY (c2) REFERENCES t2(c1)
);

CREATE TABLE t6 (
    c1 VARCHAR NOT NULL,
    c2 VARCHAR NOT NULL,
    PRIMARY KEY (c1, c2),
    FOREIGN KEY (c1) REFERENCES t3(c1),
    FOREIGN KEY (c2) REFERENCES t2(c1)
);","SELECT alias1.c1, alias2.c1 FROM (SELECT c1, sum(c3) as st FROM t4 GROUP BY c1) alias1, (SELECT c1, sum(c3) as st FROM t4 GROUP BY c1) alias2 WHERE alias1.c1 < alias2.c1 AND alias1.st = alias2.st","SELECT alias1.c1 AS drinkerA, alias2.c1 AS drinkerB FROM t4 alias1, t4 alias2 WHERE alias1.c1 < alias2.c1 AND alias1.c1 != alias2.c1 AND (SELECT SUM(alias3.c3) FROM t4 alias3 WHERE alias3.c1 = alias1.c1) = (SELECT SUM(alias4.c3) FROM t4 alias4 WHERE alias4.c1 = alias2.c1);",N,Y,Y
